ID,prefLabel,altLabel,definition,broader,isProcedureFor,exactMatch,closeMatch,source link
https://w3id.org/eusoilvoc#BaseSaturation,base saturation,,"Base saturation represents the percentage of the soil's cation exchange capacity (CEC) occupied by basic cations such as calcium (Ca²⁺), magnesium (Mg²⁺), potassium (K⁺), and sodium (Na⁺). Higher base saturation typically correlates with higher fertility and a greater ability to supply essential nutrients to plants. This parameter also influences soil pH buffering capacity. Source: Brady & Weil (2017).",soil chemical properties,,http://aims.fao.org/aos/agrovoc/c_dbde833c | http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Bascal | https://soilwise-he.github.io/soil-health#BaseSaturation,,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Bascal
https://w3id.org/eusoilvoc#Biochannel,biochannel,,,soil pores,,http://imash.leeds.ac.uk/ontologies/atu/SoilPhysics.owl#Biochannel,,
https://w3id.org/eusoilvoc#BiologicalAbundance,biological abundance,,"The Biological Abundance evaluates the presence and quantity of soil organisms, such as microbes, insects, and earthworms. This property reflects soil health, nutrient cycling, and organic matter decomposition, which are vital for maintaining soil fertility. Source: Lavelle, P., & Spain, A.V. (2001). Soil Ecology.",soil biological properties,,http://w3id.org/glosis/model/layerhorizon/biologicalAbundanceProperty,,http://w3id.org/glosis/model/layerhorizon/biologicalAbundanceProperty
https://w3id.org/eusoilvoc#BiologicalFeatures,biological features,biological feature,"The Biological Features examines qualitative aspects of soil biological activity, including the types of organisms present, their diversity, and their roles in soil ecosystems. It encompasses processes like nitrogen fixation, organic matter decomposition, and bioturbation. Source: Soil Science Society of America (SSSA) Glossary.",soil biological properties,,http://w3id.org/glosis/model/layerhorizon/biologicalFeaturesProperty,,http://w3id.org/glosis/model/layerhorizon/biologicalFeaturesProperty
https://w3id.org/eusoilvoc#BiologicalNitrogenFixation,biological nitrogen fixation,,The process by which bacteria absorb nitrogen gas from the air and convert it to ammonium that plants can use.,soil biological processes,,http://aims.fao.org/aos/agrovoc/c_27742 | http://imash.leeds.ac.uk/ontologies/atu/SoilPhysics.owl#BiologicalNitrogenFixation | http://www.eionet.europa.eu/gemet/concept/862,,https://doi.org/10.4324/9780203021231
https://w3id.org/eusoilvoc#Biomass,biomass,,,soil biota,,http://aims.fao.org/aos/agrovoc/c_926 | http://imash.leeds.ac.uk/ontologies/atu/SoilPhysics.owl#Biomass | http://opendata.inrae.fr/thesaurusINRAE/c_432 | http://www.eionet.europa.eu/gemet/concept/883 | https://data.geoscience.earth/ncl/ISO11074v2025/3.49,,
https://w3id.org/eusoilvoc#BiomassProductivity,biomass productivity,,,soil function indicators,,https://soilwise-he.github.io/soil-health#BiomassProductivity,,
https://w3id.org/eusoilvoc#BleachedSand,bleached sand,,"The Bleached Sand refers to the physical characteristic of sandy soil that has undergone a bleaching process due to leaching, where minerals such as iron and other elements have been removed by water. This process often occurs in areas with high rainfall, leading to a soil that appears lighter in color. Bleached sand typically indicates low fertility and poor nutrient-holding capacity due to the lack of iron and other nutrients that are washed away. Source: Brady, N. C., & Weil, R. R. (2008). The Nature and Properties of Soils (14th ed.). Pearson Prentice Hall.",sand,,http://w3id.org/glosis/model/common/bleachedSandProperty,,http://w3id.org/glosis/model/common/bleachedSandProperty
https://w3id.org/eusoilvoc#bulkDensityFineEarthProcedure-BlkDensF_fe-cl-fc,BlkDensF_fe-cl-fc,,"Fine earth. Clod samples (natural clods or reconstituted from < 2mm sample), at field capacity (0.33 bar, 33 kPa, 330 cm, pF 2.5), corrected for coarse fragments if any",,bulk density fine earth,http://w3id.org/glosis/model/procedure/bulkDensityFineEarthProcedure-BlkDensF_fe-cl-fc,,http://w3id.org/glosis/model/procedure/bulkDensityFineEarthProcedure-BlkDensF_fe-cl-fc
https://w3id.org/eusoilvoc#bulkDensityFineEarthProcedure-BlkDensF_fe-cl-od,BlkDensF_fe-cl-od,,"Fine earth. Clod samples (natural clods or reconstituted from < 2mm sample), at oven dry, corrected for coarse fragments if any",,bulk density fine earth,http://w3id.org/glosis/model/procedure/bulkDensityFineEarthProcedure-BlkDensF_fe-cl-od,,http://w3id.org/glosis/model/procedure/bulkDensityFineEarthProcedure-BlkDensF_fe-cl-od
https://w3id.org/eusoilvoc#bulkDensityFineEarthProcedure-BlkDensF_fe-cl-unkn,BlkDensF_fe-cl-unk,,"Fine earth. Clod samples (natural clods or reconstituted from < 2mm sample), at unknown humidity, corrected for coarse fragments if any",,bulk density fine earth,http://w3id.org/glosis/model/procedure/bulkDensityFineEarthProcedure-BlkDensF_fe-cl-unkn,,http://w3id.org/glosis/model/procedure/bulkDensityFineEarthProcedure-BlkDensF_fe-cl-unkn
https://w3id.org/eusoilvoc#bulkDensityFineEarthProcedure-BlkDensF_fe-co-fc,BlkDensF_fe-co-fc,,"Fine earth. Core sampling (pF rings), at field capacity (0.33 bar, 33 kPa, 336 cm, pF 2.5), corrected for coarse fragments if any",,bulk density fine earth,http://w3id.org/glosis/model/procedure/bulkDensityFineEarthProcedure-BlkDensF_fe-co-fc,,http://w3id.org/glosis/model/procedure/bulkDensityFineEarthProcedure-BlkDensF_fe-co-fc
https://w3id.org/eusoilvoc#bulkDensityFineEarthProcedure-BlkDensF_fe-co-od,BlkDensF_fe-co-od,,"Fine earth. Core sampling (pF rings), at oven dry, corrected for coarse fragments if any",,bulk density fine earth,http://w3id.org/glosis/model/procedure/bulkDensityFineEarthProcedure-BlkDensF_fe-co-od,,http://w3id.org/glosis/model/procedure/bulkDensityFineEarthProcedure-BlkDensF_fe-co-od
https://w3id.org/eusoilvoc#bulkDensityFineEarthProcedure-BlkDensF_fe-co-unkn,BlkDensF_fe-co-unk,,"Fine earth. Core sampling (pF rings), at unknown humidity, corrected for coarse fragments if any",,bulk density fine earth,http://w3id.org/glosis/model/procedure/bulkDensityFineEarthProcedure-BlkDensF_fe-co-unkn,,http://w3id.org/glosis/model/procedure/bulkDensityFineEarthProcedure-BlkDensF_fe-co-unkn
https://w3id.org/eusoilvoc#bulkDensityFineEarthProcedure-BlkDensF_fe-rpl-unkn,BlkDensF_fe-rpl-unk,,"Fine earth. Excavation and replacement (i.e. soils too fragile to remove a stable sample) e.g. by auger, at unknown humidity, corrected for coarse fragments if any",,bulk density fine earth,http://w3id.org/glosis/model/procedure/bulkDensityFineEarthProcedure-BlkDensF_fe-rpl-unkn,,http://w3id.org/glosis/model/procedure/bulkDensityFineEarthProcedure-BlkDensF_fe-rpl-unkn
https://w3id.org/eusoilvoc#bulkDensityFineEarthProcedure-BlkDensF_fe-unkn,BlkDensF_fe-unk,,"Fine earth. Type of sample unknown, at unknown humidity, corrected for coarse fragments if any",,bulk density fine earth,http://w3id.org/glosis/model/procedure/bulkDensityFineEarthProcedure-BlkDensF_fe-unkn,,http://w3id.org/glosis/model/procedure/bulkDensityFineEarthProcedure-BlkDensF_fe-unkn
https://w3id.org/eusoilvoc#bulkDensityFineEarthProcedure-BlkDensF_fe-unkn-fc,BlkDensF_fe-unkn-fc,,"Fine earth. Type of sample unknown, at field capacity (0.33 bar, 33 kPa, 330 cm, pF 2.5), corrected for coarse fragments if any",,bulk density fine earth,http://w3id.org/glosis/model/procedure/bulkDensityFineEarthProcedure-BlkDensF_fe-unkn-fc,,http://w3id.org/glosis/model/procedure/bulkDensityFineEarthProcedure-BlkDensF_fe-unkn-fc
https://w3id.org/eusoilvoc#bulkDensityFineEarthProcedure-BlkDensF_fe-unkn-od,BlkDensF_fe-unkn-od,,"Fine earth. Type of sample unknown, at oven dry, corrected for coarse fragments if any",,bulk density fine earth,http://w3id.org/glosis/model/procedure/bulkDensityFineEarthProcedure-BlkDensF_fe-unkn-od,,http://w3id.org/glosis/model/procedure/bulkDensityFineEarthProcedure-BlkDensF_fe-unkn-od
https://w3id.org/eusoilvoc#bulkDensityWholeSoilProcedure-BlkDensW_we-cl-fc,BlkDensW_we-cl-fc,,"Whole earth. Clod samples (natural clods), at field capacity (0.33 bar, 33 kPa, 330 cm, pF 2.5), not corrected for coarse fragments if any",,bulk density whole soil,http://w3id.org/glosis/model/procedure/bulkDensityWholeSoilProcedure-BlkDensW_we-cl-fc,,http://w3id.org/glosis/model/procedure/bulkDensityWholeSoilProcedure-BlkDensW_we-cl-fc
https://w3id.org/eusoilvoc#bulkDensityWholeSoilProcedure-BlkDensW_we-cl-od,BlkDensW_we-cl-od,,"Whole earth. Clod samples (natural clods), at oven dry, not corrected for coarse fragments if any",,bulk density whole soil,http://w3id.org/glosis/model/procedure/bulkDensityWholeSoilProcedure-BlkDensW_we-cl-od,,http://w3id.org/glosis/model/procedure/bulkDensityWholeSoilProcedure-BlkDensW_we-cl-od
https://w3id.org/eusoilvoc#bulkDensityWholeSoilProcedure-BlkDensW_we-cl-unkn,BlkDensW_we-cl-unk,,"Whole earth. Clod samples (natural clods), at unknown humidity, not corrected for coarse fragments if any",,bulk density whole soil,http://w3id.org/glosis/model/procedure/bulkDensityWholeSoilProcedure-BlkDensW_we-cl-unkn,,http://w3id.org/glosis/model/procedure/bulkDensityWholeSoilProcedure-BlkDensW_we-cl-unkn
https://w3id.org/eusoilvoc#bulkDensityWholeSoilProcedure-BlkDensW_we-co-fc,BlkDensW_we-co-fc,,"Whole earth. Core sampling (pF rings), at field capacity (0.33 bar, 33 kPa, 336 cm, pF 2.5), not corrected for coarse fragments if any",,bulk density whole soil,http://w3id.org/glosis/model/procedure/bulkDensityWholeSoilProcedure-BlkDensW_we-co-fc,,http://w3id.org/glosis/model/procedure/bulkDensityWholeSoilProcedure-BlkDensW_we-co-fc
https://w3id.org/eusoilvoc#bulkDensityWholeSoilProcedure-BlkDensW_we-co-od,BlkDensW_we-co-od,,"Whole earth. Core sampling (pF rings), at oven dry, not corrected for coarse fragments if any",,bulk density whole soil,http://w3id.org/glosis/model/procedure/bulkDensityWholeSoilProcedure-BlkDensW_we-co-od,,http://w3id.org/glosis/model/procedure/bulkDensityWholeSoilProcedure-BlkDensW_we-co-od
https://w3id.org/eusoilvoc#bulkDensityWholeSoilProcedure-BlkDensW_we-co-unkn,BlkDensW_we-co-unk,,"Whole earth. Core sampling (pF rings), at unknown humidity, not corrected for coarse fragments if any",,bulk density whole soil,http://w3id.org/glosis/model/procedure/bulkDensityWholeSoilProcedure-BlkDensW_we-co-unkn,,http://w3id.org/glosis/model/procedure/bulkDensityWholeSoilProcedure-BlkDensW_we-co-unkn
https://w3id.org/eusoilvoc#bulkDensityWholeSoilProcedure-BlkDensW_we-rpl-unkn,BlkDensW_we-rpl-unk,,"Whole earth. Excavation and replacement (i.e. soils too fragile to remove a stable sample) e.g. by auger, at unknown humidity, not corrected for coarse fragments if any",,bulk density whole soil,http://w3id.org/glosis/model/procedure/bulkDensityWholeSoilProcedure-BlkDensW_we-rpl-unkn,,http://w3id.org/glosis/model/procedure/bulkDensityWholeSoilProcedure-BlkDensW_we-rpl-unkn
https://w3id.org/eusoilvoc#bulkDensityWholeSoilProcedure-BlkDensW_we-unkn,BlkDensW_we-unk,,"Whole earth. Type of sample unknown, at unknown humidity, not corrected for coarse fragments if any",,bulk density whole soil,http://w3id.org/glosis/model/procedure/bulkDensityWholeSoilProcedure-BlkDensW_we-unkn,,http://w3id.org/glosis/model/procedure/bulkDensityWholeSoilProcedure-BlkDensW_we-unkn
https://w3id.org/eusoilvoc#Boron,boron,,,micronutrients,,http://aims.fao.org/aos/agrovoc/c_1018 | http://opendata.inrae.fr/thesaurusINRAE/c_13532 | http://www.eionet.europa.eu/gemet/concept/965 | https://soilwise-he.github.io/soil-health#Boron,,
https://w3id.org/eusoilvoc#BoronExtractableElements,boron extractable elements,boron extractable element,Boron bound to the soil matrix but that can be released into the soil solution (i.e. become bio-available),boron,,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Borext,,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Borext
https://w3id.org/eusoilvoc#BoronTotalElements,boron total elements,boron total element,"Total boron includes all boron forms in soil, crucial for plant cell wall formation and reproductive processes. Deficiency can impair growth, while toxicity is a risk in arid soils or with excessive irrigation. Source: Havlin et al. (2014).",boron,,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Bortot,,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Bortot
https://w3id.org/eusoilvoc#BoundaryDistinctness,boundary distinctness,,"The Boundary Distinctness describes the sharpness of transitions between soil horizons. Boundaries can range from abrupt (clear demarcation) to diffuse (gradual blending), providing insights into soil formation processes and profile development. Source: Soil Survey Manual (USDA, 2017).",soil horizon boundary,,http://w3id.org/glosis/model/layerhorizon/boundaryDistinctnessProperty,,http://w3id.org/glosis/model/layerhorizon/boundaryDistinctnessProperty
https://w3id.org/eusoilvoc#BoundaryTopography,boundary topography,,"The Boundary Topography characterizes the shape of soil horizon boundaries, which may be smooth, wavy, irregular, or broken. It reflects processes like erosion, deposition, or biological activity that influence horizon development. Source: FAO (2006). Guidelines for Soil Description.",soil horizon boundary,,http://w3id.org/glosis/model/layerhorizon/boundaryTopographyProperty,,http://w3id.org/glosis/model/layerhorizon/boundaryTopographyProperty
https://w3id.org/eusoilvoc#baseSaturationProcedure-BSat_calcul-cec,BSat_calcul-cec,,"Sum of exchangeable bases (Ca++, Mg++, K+, Na+) as percentage of CEC (method specified with CEC and ExchBases)",,base saturation,http://w3id.org/glosis/model/procedure/baseSaturationProcedure-BSat_calcul-cec,,http://w3id.org/glosis/model/procedure/baseSaturationProcedure-BSat_calcul-cec
https://w3id.org/eusoilvoc#baseSaturationProcedure-BSat_calcul-ecec,BSat_calcul-ecec,,"Sum of exchangeable bases (Ca++, Mg++, K+, Na+) as percentage of EffCEC (method specified with EffCEC and ExchBases)",,base saturation,http://w3id.org/glosis/model/procedure/baseSaturationProcedure-BSat_calcul-ecec,,http://w3id.org/glosis/model/procedure/baseSaturationProcedure-BSat_calcul-ecec
https://w3id.org/eusoilvoc#Building,building,,,land cover,,http://imash.leeds.ac.uk/ontologies/atu/SoilPhysics.owl#Building | http://opendata.inrae.fr/thesaurusINRAE/c_2560 | http://www.eionet.europa.eu/gemet/concept/1029,http://opendata.inrae.fr/thesaurusINRAE/c_13667 | https://soilwise-he.github.io/soil-health#Buildings,
https://w3id.org/eusoilvoc#BuildingStability,building stability,,,soil engineering functions,,http://imash.leeds.ac.uk/ontologies/atu/SoilPhysics.owl#BuildingStability,,
https://w3id.org/eusoilvoc#BulkDensityFineEarth,bulk density fine earth,,"This parameter measures the bulk density of the soil fraction smaller than 2 mm (excluding rocks and coarse fragments). It is used to assess the physical properties of soil related to root growth, water movement, and compaction. Source: Soil Science Society of America.",soil bulk density,,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-BulDfine,,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-BulDfine
https://w3id.org/eusoilvoc#BulkDensityMineral,bulk density mineral,,"The Bulk Density of Mineral Soil refers specifically to the density of the mineral portion of the soil, excluding organic matter. It provides insights into the physical state and compaction of mineral-dominated soils, influencing water movement and root growth. Source: Brady, N.C., & Weil, R.R. (2008). The Nature and Properties of Soils.",soil bulk density,,http://w3id.org/glosis/model/layerhorizon/bulkDensityMineralProperty,,http://w3id.org/glosis/model/layerhorizon/bulkDensityMineralProperty
https://w3id.org/eusoilvoc#BulkDensityPeat,bulk density peat,,"The Bulk Density of Peat measures the mass of dry organic soil (peat) per unit volume. Peat soils typically have low bulk density due to their high organic matter content and porosity, which significantly affects their water retention and drainage characteristics. Source: Rydin, H., & Jeglum, J. (2006). The Biology of Peatlands.",soil bulk density,,http://w3id.org/glosis/model/layerhorizon/bulkDensityPeatProperty,,http://w3id.org/glosis/model/layerhorizon/bulkDensityPeatProperty
https://w3id.org/eusoilvoc#BulkDensityWholeSoil,bulk density whole soil,,"Bulk density measures the mass of soil per unit volume, including both solids and pore spaces. It is a critical parameter for assessing soil compaction, porosity, and water infiltration capacity. High bulk density often indicates poor aeration and root penetration, while low values are associated with high organic matter content and good structure. Source: USDA NRCS.",soil bulk density,,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-BulDwhole,,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-BulDwhole
https://w3id.org/eusoilvoc#totalCarbonateEquivalentProcedure-CaCO3_acid-ch3cooh-dc,CaCO3_acid-ch3cooh-dc,,"Dissolution of carbonates by Acetic acid [CH3COOH], external heat (dry combustion)",,total carbonate equivalent,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_acid-ch3cooh-dc,,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_acid-ch3cooh-dc
https://w3id.org/eusoilvoc#totalCarbonateEquivalentProcedure-CaCO3_acid-ch3cooh-nodc,CaCO3_acid-ch3cooh-nodc,,"Dissolution of carbonates by Acetic acid [CH3COOH], no external (no dry combustion)",,total carbonate equivalent,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_acid-ch3cooh-nodc,,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_acid-ch3cooh-nodc
https://w3id.org/eusoilvoc#totalCarbonateEquivalentProcedure-CaCO3_acid-ch3cooh-unkn,CaCO3_acid-ch3cooh-unk,,"Dissolution of carbonates by Acetic acid [CH3COOH], external heat unknown",,total carbonate equivalent,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_acid-ch3cooh-unkn,,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_acid-ch3cooh-unkn
https://w3id.org/eusoilvoc#totalCarbonateEquivalentProcedure-CaCO3_acid-dc,CaCO3_acid-dc,,"Dissolution of carbonates by acid, external heat (dry combustion)",,total carbonate equivalent,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_acid-dc,,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_acid-dc
https://w3id.org/eusoilvoc#totalCarbonateEquivalentProcedure-CaCO3_acid-h2so4-dc,CaCO3_acid-h2so4-dc,,"Dissolution of carbonates by Sulfuric acid [H2SO4], external heat (dry combustion)",,total carbonate equivalent,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_acid-h2so4-dc,,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_acid-h2so4-dc
https://w3id.org/eusoilvoc#totalCarbonateEquivalentProcedure-CaCO3_acid-h2so4-nodc,CaCO3_acid-h2so4-nodc,,"Dissolution of carbonates by Sulfuric acid [H2SO4], no external (no dry combustion)",,total carbonate equivalent,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_acid-h2so4-nodc,,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_acid-h2so4-nodc
https://w3id.org/eusoilvoc#totalCarbonateEquivalentProcedure-CaCO3_acid-h2so4-unkn,CaCO3_acid-h2so4-unk,,"Dissolution of carbonates by Sulfuric acid [H2SO4], external heat unknown",,total carbonate equivalent,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_acid-h2so4-unkn,,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_acid-h2so4-unkn
https://w3id.org/eusoilvoc#totalCarbonateEquivalentProcedure-CaCO3_acid-h3po4-dc,CaCO3_acid-h3po4-dc,,"Dissolution of carbonates by Phosphoric acid [H3PO4], external heat (dry combustion)",,total carbonate equivalent,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_acid-h3po4-dc,,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_acid-h3po4-dc
https://w3id.org/eusoilvoc#totalCarbonateEquivalentProcedure-CaCO3_acid-h3po4-nodc,CaCO3_acid-h3po4-nodc,,"Dissolution of carbonates by Phosphoric acid [H3PO4], no external (no dry combustion)",,total carbonate equivalent,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_acid-h3po4-nodc,,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_acid-h3po4-nodc
https://w3id.org/eusoilvoc#totalCarbonateEquivalentProcedure-CaCO3_acid-h3po4-unkn,CaCO3_acid-h3po4-unk,,"Dissolution of carbonates by Phosphoric acid [H3PO4], external heat unknown",,total carbonate equivalent,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_acid-h3po4-unkn,,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_acid-h3po4-unkn
https://w3id.org/eusoilvoc#totalCarbonateEquivalentProcedure-CaCO3_acid-hcl-dc,CaCO3_acid-hcl-dc,,"Dissolution of carbonates by Hydrochloric acid [HCl], or Perchloric acid [HClO4], external heat (dry combustion)",,total carbonate equivalent,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_acid-hcl-dc,,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_acid-hcl-dc
https://w3id.org/eusoilvoc#totalCarbonateEquivalentProcedure-CaCO3_acid-hcl-nodc,CaCO3_acid-hcl-nodc,,"Dissolution of carbonates by Hydrochloric acid [HCl], or Perchloric acid [HClO4], no external (no dry combustion)",,total carbonate equivalent,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_acid-hcl-nodc,,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_acid-hcl-nodc
https://w3id.org/eusoilvoc#totalCarbonateEquivalentProcedure-CaCO3_acid-hcl-unkn,CaCO3_acid-hcl-unk,,"Dissolution of carbonates by Hydrochloric acid [HCl], or Perchloric acid [HClO4], external heat unknown",,total carbonate equivalent,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_acid-hcl-unkn,,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_acid-hcl-unkn
https://w3id.org/eusoilvoc#totalCarbonateEquivalentProcedure-CaCO3_acid-nodc,CaCO3_acid-nodc,,"Dissolution of carbonates by acid, no external (no dry combustion)",,total carbonate equivalent,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_acid-nodc,,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_acid-nodc
https://w3id.org/eusoilvoc#totalCarbonateEquivalentProcedure-CaCO3_acid-unkn,CaCO3_acid-unk,,"Dissolution of carbonates by acid, external heat unknown",,total carbonate equivalent,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_acid-unkn,,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_acid-unkn
https://w3id.org/eusoilvoc#totalCarbonateEquivalentProcedure-CaCO3_ca01,CaCO3_ca01,,Method of Scheibler (volumetric),,total carbonate equivalent,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_ca01,,http://w3id.org/glosis/model/procedure/totalCarbonateEquivalentProcedure-CaCO3_ca01
